"name","label","data_type","value_labels","n_missing","complete_rate","min","median","max","mean","sd","n_value_labels","hist","format.spss","display_width"
"ingreso_independientes","Ganancia mensualizada de los ocupados independientes","numeric",NA,53287,0.11687300087837049,"3.5e+00","2.0e+02","6.2e+03",358.1785309132161,492.49723662317217,NA,"▇▁▁▁▁","F8.2",NA
"ingreso_agro","Ganancia mensualizada de la actividad agropecuaria","numeric",NA,56142,0.06955700293342615,"0.0e+00","2.3e+01","5.4e+03",44.89683345246605,108.90059387927724,NA,"▇▁▁▁▁","F8.2",NA
"ingreso_pensiones","Ingreso mensualizado de las pensiones (pregunta 440 ítem 6)","numeric",NA,59522,0.0135401647359088,"1.7e+01","3.1e+02","1.5e+03",398.041562627499,208.4285427892669,NA,"▇▆▂▁▁","F8.2","12"
"ingreso_remesas","Ingreso mensualizado de las remesas en divisas","numeric",NA,55045,0.08773761580404049,"1.7e+00","2.0e+02","1.7e+03",211.78472043823197,171.9630058301933,NA,"▇▂▁▁▁","F8.2",NA
"edicion","Año de levantamiento","numeric",NA,0,1,"2.0e+03","2.0e+03","2.0e+03",2022,0,NA,"▁▁▇▁▁","F4.0","6"
"lote","Lote","haven_labelled","19. 19",0,1,"   2","6529","12421",6419.351547092261,3816.1973250322803,1,"▆▆▅▅▂▇▅▇","F5.0","6"
"tipo","Tipo","haven_labelled","0. Hogar principal,
1. Doble hogar,
2. Doble hogar,
3. Doble hogar",0,1,"   0","   0","    6",0.026334543164454167,0.19409708514006793,4,"▇▁▁▁▁▁▁▁","F1.0","6"
"folio","Folio","numeric",NA,0,1,"1.0e+00","9.0e+01","1.4e+03",94.95268731666087,64.03142408554163,NA,"▇▁▁▁▁","F6.3","6"
"viv","Vivienda","haven_labelled","0. Vivienda en muestra,
1. Vivienda extra",0,1,"   0","   0","    1",0.03960953943552263,0.19504167318816962,2,"▇▁▁▁▁▁▁▁","F1.0","6"
"r101","Número de orden","numeric",NA,0,1,"1.0e+00","2.0e+00","1.4e+01",2.510780755398664,1.5108178155069658,NA,"▇▂▁▁▁","F2.0","6"
"idboleta","Identificador de hogar","numeric",NA,0,1,"2.7e+05","2.9e+05","3.0e+05",285490.8649298132,6255.563153642239,NA,"▇▇▇▇▇","F7.0","6"
"fac00","Factor de expansión","numeric",NA,0,1,"1.7e+00","7.5e+01","3.7e+02",104.92296856096388,84.55414746597604,NA,"▇▅▂▁▁","F4.0","6"
"area","Área geográfica","haven_labelled","0. Rural,
1. Urbano",0,1,"   0","   1","    1",0.5332372097648287,0.4988981989386712,2,"▇▁▁▁▁▁▁▇","F1.0","6"
"region","Región geográfica","haven_labelled","1. Occidental,
2. Central I,
3. Central II,
4. Oriental,
5. Área metropolitana de San Salvador",0,1,"   1","   3","    5",2.8623444206897695,1.393986083766399,5,"▇▇▁▆▁▇▁▅","F1.0","6"
"correlativo",NA,"numeric",NA,0,1,"2.0e+00","6.5e+03","1.2e+04",6419.351547092261,3816.1973250322803,NA,"▇▆▅▇▇","F5.0","13"
"municauto","Municipios autorrepresentados","numeric",NA,0,1,"1.0e+00","1.3e+01","5.0e+01",22.882696100366264,20.22898994653446,NA,"▇▃▁▁▆","F2.0","6"
"estratoarea","Estratos","haven_labelled","1010. Ahuachapán rural,
1011. Ahuachapán urbano,
1030. Atiquizaya rural,
1031. Atiquizaya urbano,
1070. Jujutla rural,
1071. Jujutla urbano,
1080. San Francisco Menéndez rural,
1081. San Francisco Menéndez urbano,
1500. Resto Ahuachapán rural,
1501. Resto Ahuachapán urbano,
2010. Candelaria de la Frontera rural,
2011. Candelaria de la Frontera urbano,
2020. Coatepeque rural,
2021. Coatepeque urbano,
2030. Chalchuapa rural,
2031. Chalchuapa urbano,
2070. Metapán rural,
2071. Metapán urbano,
2100. Santa Ana rural,
2101. Santa Ana urbano,
2500. Resto Santa Ana rural,
2501. Resto Santa Ana urbano,
3010. Acajutla rural,
3011. Acajutla urbano,
3060. Izalco rural,
3061. Izalco urbano,
3080. Nahuizalco rural,
3081. Nahuizalco urbano,
3110. San Antonio del Monto rural,
3111. San Antonio del Monte urbano,
3150. Sonsonate rural,
3151. Sonsonate urbano,
3500. Resto Sonsonate rural,
3501. Resto Sonsonate urbano,
4070. Chalatenango rural,
4071. Chalatenango urbano,
4500. Resto Chalatenango rural,
4501. Resto Chalatenango urbano,
5011. Antiguo Cuscatlán urbano,
5020. Ciudad Arce rural,
5021. Ciudad Arce urbano,
5030. Colón rural,
5031. Colón urbano,
5090. La Libertad rural,
5091. La Libertad urbano,
5110. Santa Tecla rural,
5111. Santa Tecla urbano,
5120. Quezaltepeque rural,
5121. Quezaltepeque urbano,
5150. San Juan Opico rural,
5151. San Juan Opico urbano,
5500. Resto La Libertad rural,
5501. Resto La Libertad urbano,
6021. Apopa urbano,
6031. Ayutuxtepeque urbano,
6041. Cuscatancingo urbano,
6071. Ilopango urbano,
6081. Mejicanos urbano,
6090. Nejapa rural,
6091. Nejapa urbano,
6100. Panchimalco rural,
6101. Panchimalco urbano,
6121. San Marcos rural,
6130. San Martín rural,
6131. San Martín urbano,
6141. San Salvador urbano,
6160. Santo Tomás rural,
6161. Santo Tomás urbano,
6171. Soyapango urbano,
6180. Tonacatepeque rural,
6181. Tonacatepeque urbano,
6190. Ciudad Delgado rural,
6191. Ciudad Delgado urbano,
6500. Resto San Salvador rural,
6501. Resto San Salvador urbano,
7020. Cojutepeque rural,
7021. Cojutepeque urbano,
7500. Resto Cuscatlán rural,
7501. Resto Cuscatlán urbano,
8050. Olocuilta Rural,
8051. Olocuilta urbano,
8190. Santiago Nonualco rural,
8191. Santiago Nonualco urbano,
8210. Zacatecoluca rural,
8211. Zacatecoluca urbano,
8500. Resto La Paz rural,
8501. Resto La Paz urbano,
9030. Ilobasco rural,
9031. Ilobasco urbano,
9060. Sensuntepeque rural,
9061. Sensuntepeque urbano,
9500. Resto Cabañas rural,
9501. Resto Cabañas urbano,
10100. San Vicente rural,
10101. San Vicente urbano,
10500. Resto San Vicente rural,
10501. Resto San Vicente urbano,
11080. Jiquilisco rural,
11081. Jiquilisco urbano,
11230. Usulután rural,
11231. Usulután urbano,
11500. Resto Usulután rural,
11501. Resto Usulután urbano,
12020. Ciudad Barrios rural,
12021. Ciudad Barrios urbano,
12170. San Miguel rural,
12171. San Miguel urbano,
12500. Resto San Miguel rural,
12501. Resto San Miguel urbano,
13190. San Francisco Gotera rural,
13191. San Francisco Gotera urbano,
13500. Resto Morazán rural,
13501. Resto Morazán urbano,
14040. Conchagua rural,
14041. Conchagua urbano,
14080. La Unión rural,
14081. La Unión urbano,
14500. Resto La Unión rural,
14501. Resto La Unión urbano",0,1,"1010","6171","14501",7270.593894496098,3982.5341240891,119,"▆▃▇▇▅▃▃▆","F5.0","6"
